id,sentence_text,label,label_text,control,framework,criterion,source
S0103,"Every laptop, including those used off-site, has malware protection enabled.",1,COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed and active on all devices,ce_definition
S0104,Malware definitions are updated daily on all protected devices.,1,COMPLIANT,CE5_Malware,Cyber Essentials,malware definitions kept up to date,ce_definition
S0105,Our anti-virus software updates itself automatically each day.,1,COMPLIANT,CE5_Malware,Cyber Essentials,malware definitions kept up to date,ce_definition
S0106,Email filtering blocks malicious attachments before they reach staff inboxes.,1,COMPLIANT,CE5_Malware,Cyber Essentials,email filtering blocking malicious attachments,ce_definition
S0107,Suspicious emails are quarantined by our mail filtering service.,1,COMPLIANT,CE5_Malware,Cyber Essentials,email filtering blocking malicious attachments,ce_definition
S0108,Web filtering prevents staff from reaching known malicious websites.,1,COMPLIANT,CE5_Malware,Cyber Essentials,web filtering blocking malicious sites,ce_definition
S0109,Only approved applications are permitted to run on our computers.,1,COMPLIANT,CE5_Malware,Cyber Essentials,application allow-listing in place,ce_definition
S0110,Real-time scanning is enabled so files are checked as they are opened.,1,COMPLIANT,CE5_Malware,Cyber Essentials,real-time scanning enabled,ce_definition
S0111,Detections from the anti-malware software are reviewed by our IT provider.,1,COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed and active on all devices,ce_definition
S0112,The computers do not have any anti-virus software installed.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no antivirus/anti-malware on devices,ce_definition
S0113,There is no malware protection on the machine used for care records.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no antivirus/anti-malware on devices,cqc_style
S0114,"Staff use their own laptops, which have no anti-virus protection.",0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no antivirus/anti-malware on devices,cqc_style
S0115,The anti-virus definitions on most devices are several months out of date.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,definitions out of date / not maintained,ce_definition
S0116,Malware protection is installed but has not updated since last year.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,definitions out of date / not maintained,ce_definition
S0117,There is no email filtering to catch phishing or malicious attachments.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no email filtering for malware/phishing,ce_definition
S0118,Malicious attachments reach staff inboxes because nothing filters them.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no email filtering for malware/phishing,ce_definition
S0119,Staff can browse any website they like with no filtering in place.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,"unrestricted web access, no filtering",ce_definition
S0120,No controls exist to stop unapproved programs running on our computers.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,no malware controls of any kind,ce_definition
S0121,Anti-virus is installed on the office PC but has been disabled.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed but disabled/unmaintained,ce_definition
S0122,Alerts from the anti-virus software are logged but never looked at.,0,NON_COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed but disabled/unmaintained,cqc_style
S0123,Staff understand their responsibilities for handling residents' confidential information.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,staff understanding their data handling responsibilities,dspt_definition
S0124,All staff know they are personally accountable for how they handle personal data.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,staff understanding their data handling responsibilities,dspt_definition
S0125,Responsibility for confidential resident information is clearly assigned.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,clear accountability for confidential data,dspt_definition
S0126,The registered manager holds overall accountability for data protection.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,clear accountability for confidential data,dspt_definition
S0127,Personal confidential data is handled responsibly by everyone in the service.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,responsible handling of personal confidential data,dspt_definition
S0128,Care records are treated as confidential and handled accordingly.,1,COMPLIANT,DSPT1_ConfidentialData,DSPT,responsible handling of personal confidential data,cqc_style
S0129,Staff were not aware of their responsibilities for handling confidential data.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,staff unaware of data handling responsibilities,dspt_definition
S0130,Several staff could not explain what they should do with confidential information.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,staff unaware of data handling responsibilities,cqc_style
S0131,It is unclear who is accountable for data protection at the home.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,no clarity on who is accountable,dspt_definition
S0132,Nobody has been given responsibility for confidential information.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,no clarity on who is accountable,dspt_definition
S0133,Resident records were left on desks in areas visitors could access.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,careless or undefined handling of confidential data,cqc_style
S0134,Confidential handover notes were left in the staff room overnight.,0,NON_COMPLIANT,DSPT1_ConfidentialData,DSPT,careless or undefined handling of confidential data,cqc_style
S0135,Confidentiality obligations are written into every member of staff's contract.,1,COMPLIANT,DSPT2_StaffResponsibilities,DSPT,confidentiality/data terms included in staff contracts,dspt_definition
S0136,Data protection responsibilities form part of our standard employment terms.,1,COMPLIANT,DSPT2_StaffResponsibilities,DSPT,confidentiality/data terms included in staff contracts,dspt_definition
S0137,Staff sign a confidentiality agreement when they join the service.,1,COMPLIANT,DSPT2_StaffResponsibilities,DSPT,confidentiality/data terms included in staff contracts,dspt_definition
S0138,Breaches of our data policy are dealt with through the disciplinary process.,1,COMPLIANT,DSPT2_StaffResponsibilities,DSPT,breaches handled through a defined process,dspt_definition
S0139,There is a clear process for acting on deliberate or avoidable data breaches.,1,COMPLIANT,DSPT2_StaffResponsibilities,DSPT,breaches handled through a defined process,dspt_definition
S0140,Staff contracts say nothing about data protection or confidentiality.,0,NON_COMPLIANT,DSPT2_StaffResponsibilities,DSPT,no data responsibilities in contracts,dspt_definition
S0141,Employment terms do not mention responsibilities for handling personal data.,0,NON_COMPLIANT,DSPT2_StaffResponsibilities,DSPT,no data responsibilities in contracts,dspt_definition
S0142,Data policy breaches have occurred but no action was taken.,0,NON_COMPLIANT,DSPT2_StaffResponsibilities,DSPT,breaches ignored or not acted upon,dspt_definition
S0143,There is no process for responding when staff breach the data policy.,0,NON_COMPLIANT,DSPT2_StaffResponsibilities,DSPT,breaches ignored or not acted upon,dspt_definition
S0144,All staff complete data security training every year.,1,COMPLIANT,DSPT3_Training,DSPT,staff completed annual data security/IG training,dspt_definition
S0145,Information governance training is refreshed annually for the whole team.,1,COMPLIANT,DSPT3_Training,DSPT,staff completed annual data security/IG training,dspt_definition
S0146,Every member of staff completed their data security module this year.,1,COMPLIANT,DSPT3_Training,DSPT,staff completed annual data security/IG training,dspt_definition
S0147,New starters receive data security training during their induction.,1,COMPLIANT,DSPT3_Training,DSPT,training completed at induction,dspt_definition
S0148,Information governance is covered in the first week of induction.,1,COMPLIANT,DSPT3_Training,DSPT,training completed at induction,dspt_definition
S0149,Training records show ninety-five per cent completion for the current year.,1,COMPLIANT,DSPT3_Training,DSPT,high completion rates recorded,dspt_definition
S0150,Our training matrix shows all staff are up to date on data security.,1,COMPLIANT,DSPT3_Training,DSPT,high completion rates recorded,cqc_style
S0151,Staff must pass a test at the end of the data security training.,1,COMPLIANT,DSPT3_Training,DSPT,mandatory test passed,dspt_definition
S0152,Completion of the mandatory data security assessment is tracked for every member of staff.,1,COMPLIANT,DSPT3_Training,DSPT,mandatory test passed,dspt_definition
S0153,Staff receive phishing awareness training so they can spot suspicious emails.,1,COMPLIANT,DSPT3_Training,DSPT,phishing/awareness training delivered,dspt_definition
S0154,We run regular awareness sessions on recognising cyber threats.,1,COMPLIANT,DSPT3_Training,DSPT,phishing/awareness training delivered,dspt_definition
S0155,Staff have not completed any data security training.,0,NON_COMPLIANT,DSPT3_Training,DSPT,staff have not completed training,dspt_definition
S0156,There is no annual data security training for the team.,0,NON_COMPLIANT,DSPT3_Training,DSPT,staff have not completed training,dspt_definition
S0157,New staff start work without any training on information governance.,0,NON_COMPLIANT,DSPT3_Training,DSPT,no induction training on data security,dspt_definition
S0158,Induction does not include anything about handling confidential data.,0,NON_COMPLIANT,DSPT3_Training,DSPT,no induction training on data security,dspt_definition
S0159,Only thirty per cent of staff have completed the data security module.,0,NON_COMPLIANT,DSPT3_Training,DSPT,low or unrecorded completion rates,dspt_definition
S0160,There are no records showing who has completed information governance training.,0,NON_COMPLIANT,DSPT3_Training,DSPT,low or unrecorded completion rates,dspt_definition
S0161,Only the registered manager has received information governance training.,0,NON_COMPLIANT,DSPT3_Training,DSPT,low or unrecorded completion rates,cqc_style
S0162,The training is provided but staff are not tested on it.,0,NON_COMPLIANT,DSPT3_Training,DSPT,training not tested or not mandatory,dspt_definition
S0163,Data security training is optional and few staff have taken it.,0,NON_COMPLIANT,DSPT3_Training,DSPT,training not tested or not mandatory,dspt_definition
S0164,Staff have had no training on recognising phishing emails.,0,NON_COMPLIANT,DSPT3_Training,DSPT,no awareness training provided,dspt_definition
S0165,There is no cyber awareness training of any kind at the service.,0,NON_COMPLIANT,DSPT3_Training,DSPT,no awareness training provided,dspt_definition
S0166,Access to care records is restricted to staff who need it for their role.,1,COMPLIANT,DSPT4_DataAccess,DSPT,access restricted to staff who need it,dspt_definition
S0167,Only authorised staff can open residents' confidential records.,1,COMPLIANT,DSPT4_DataAccess,DSPT,access restricted to staff who need it,dspt_definition
S0168,Access to personal data is removed as soon as it is no longer needed for the role.,1,COMPLIANT,DSPT4_DataAccess,DSPT,access removed when role changes/ends,dspt_definition
S0169,"When staff change roles, their access rights are updated to match.",1,COMPLIANT,DSPT4_DataAccess,DSPT,access removed when role changes/ends,dspt_definition
S0170,Every access to a resident's record can be traced back to an individual.,1,COMPLIANT,DSPT4_DataAccess,DSPT,access attributable to individuals,dspt_definition
S0171,The system logs who viewed each care record and when.,1,COMPLIANT,DSPT4_DataAccess,DSPT,access attributable to individuals,dspt_definition
S0172,Role-based access controls determine what each member of staff can see.,1,COMPLIANT,DSPT4_DataAccess,DSPT,role-based access enforced,dspt_definition
S0173,Access permissions are set according to job role and reviewed regularly.,1,COMPLIANT,DSPT4_DataAccess,DSPT,role-based access enforced,dspt_definition
S0174,Staff can access resident records that have nothing to do with their role.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,data accessible to staff who don't need it,dspt_definition
S0175,Anyone with a login can open any resident's full care record.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,data accessible to staff who don't need it,dspt_definition
S0176,"Access rights are never removed, even when staff move to different roles.",0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,access retained after it is no longer needed,dspt_definition
S0177,A member of staff retained access to payroll data after moving to a care role.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,access retained after it is no longer needed,cqc_style
S0178,"Because logins are shared, it is not possible to tell who viewed a record.",0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,access not attributable (shared logins),dspt_definition
S0179,The system does not record which member of staff accessed which record.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,access not attributable (shared logins),dspt_definition
S0180,There are no role-based restrictions on the care records system.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,no role-based restrictions,dspt_definition
S0181,The provider had no system for managing who could access sensitive data.,0,NON_COMPLIANT,DSPT4_DataAccess,DSPT,no role-based restrictions,cqc_style
S0182,Our data handling processes are reviewed at least once a year.,1,COMPLIANT,DSPT5_ProcessReviews,DSPT,processes reviewed at least annually,dspt_definition
S0183,An annual review checks whether our information processes are still fit for purpose.,1,COMPLIANT,DSPT5_ProcessReviews,DSPT,processes reviewed at least annually,dspt_definition
S0184,We hold workshops after any near miss to improve the process involved.,1,COMPLIANT,DSPT5_ProcessReviews,DSPT,reviews used to improve after breaches/near misses,dspt_definition
S0185,Lessons from previous incidents are used to change how we work.,1,COMPLIANT,DSPT5_ProcessReviews,DSPT,reviews used to improve after breaches/near misses,dspt_definition
S0186,"Where staff have found workarounds, we review the process and fix it.",1,COMPLIANT,DSPT5_ProcessReviews,DSPT,insecure workarounds identified and addressed,dspt_definition
S0187,Our data handling processes have never been reviewed.,0,NON_COMPLIANT,DSPT5_ProcessReviews,DSPT,processes never reviewed,dspt_definition
S0188,There is no annual review of how we handle information.,0,NON_COMPLIANT,DSPT5_ProcessReviews,DSPT,processes never reviewed,dspt_definition
S0189,Near misses are not discussed and nothing changes as a result.,0,NON_COMPLIANT,DSPT5_ProcessReviews,DSPT,no learning from breaches or near misses,dspt_definition
S0190,Previous data breaches did not lead to any change in practice.,0,NON_COMPLIANT,DSPT5_ProcessReviews,DSPT,no learning from breaches or near misses,cqc_style
S0191,Staff routinely work around the system and this has not been addressed.,0,NON_COMPLIANT,DSPT5_ProcessReviews,DSPT,staff rely on insecure workarounds unaddressed,dspt_definition
S0192,We have a written procedure for responding to data security incidents.,1,COMPLIANT,DSPT6_Incidents,DSPT,a documented incident response procedure,dspt_definition
S0193,An incident response plan sets out what to do if we suffer a cyber attack.,1,COMPLIANT,DSPT6_Incidents,DSPT,a documented incident response procedure,dspt_definition
