id,label,control
P02189,1,CE5_Malware
P02191,1,CE5_Malware
P02192,1,CE5_Malware
P02193,1,CE5_Malware
P02194,1,CE5_Malware
P02199,1,CE5_Malware
P02200,1,CE5_Malware
P02205,1,CE5_Malware
P02206,1,CE5_Malware
P02221,1,CE5_Malware
P02231,1,CE5_Malware
P02232,1,CE5_Malware
P02235,1,CE5_Malware
P02240,1,CE5_Malware
P02257,0,CE5_Malware
P02260,0,CE5_Malware
P02262,0,CE5_Malware
P02271,0,CE5_Malware
P02302,0,CE5_Malware
P02303,0,CE5_Malware
P02307,0,CE5_Malware
P02325,1,DSPT1_ConfidentialData
P02326,1,DSPT1_ConfidentialData
P02328,1,DSPT1_ConfidentialData
P02329,1,DSPT1_ConfidentialData
P02330,1,DSPT1_ConfidentialData
P02331,1,DSPT1_ConfidentialData
P02344,1,DSPT1_ConfidentialData
P02362,0,DSPT1_ConfidentialData
P02366,0,DSPT1_ConfidentialData
P02375,0,DSPT1_ConfidentialData
P02381,1,DSPT2_StaffResponsibilities
P02392,1,DSPT2_StaffResponsibilities
P02393,1,DSPT2_StaffResponsibilities
P02412,0,DSPT2_StaffResponsibilities
P02413,0,DSPT2_StaffResponsibilities
P02425,0,DSPT2_StaffResponsibilities
P02426,0,DSPT2_StaffResponsibilities
P02445,1,DSPT3_Training
P02452,1,DSPT3_Training
P02460,1,DSPT3_Training
P02462,1,DSPT3_Training
P02469,1,DSPT3_Training
P02472,1,DSPT3_Training
P02489,1,DSPT3_Training
P02506,0,DSPT3_Training
P02508,0,DSPT3_Training
P02512,0,DSPT3_Training
P02518,0,DSPT3_Training
P02526,0,DSPT3_Training
P02527,0,DSPT3_Training
P02538,0,DSPT3_Training
P02540,0,DSPT3_Training
P02550,0,DSPT3_Training
P02553,0,DSPT3_Training
P02558,0,DSPT3_Training
P02560,0,DSPT3_Training
P02562,0,DSPT3_Training
P02566,1,DSPT4_DataAccess
P02580,1,DSPT4_DataAccess
P02581,1,DSPT4_DataAccess
P02589,1,DSPT4_DataAccess
P02590,1,DSPT4_DataAccess
P02591,1,DSPT4_DataAccess
P02611,1,DSPT4_DataAccess
P02616,0,DSPT4_DataAccess
P02638,0,DSPT4_DataAccess
P02653,0,DSPT4_DataAccess
P02654,0,DSPT4_DataAccess
P02655,0,DSPT4_DataAccess
P02661,1,DSPT5_ProcessReviews
P02663,1,DSPT5_ProcessReviews
P02675,1,DSPT5_ProcessReviews
P02706,0,DSPT5_ProcessReviews
P02737,1,DSPT6_Incidents
P02741,1,DSPT6_Incidents
P02742,1,DSPT6_Incidents
P02743,1,DSPT6_Incidents
P02746,1,DSPT6_Incidents
P02754,1,DSPT6_Incidents
P02780,0,DSPT6_Incidents
P02795,0,DSPT6_Incidents
P02821,0,DSPT6_Incidents
P02827,1,DSPT7_Continuity
P02842,1,DSPT7_Continuity
P02850,1,DSPT7_Continuity
P02852,1,DSPT7_Continuity
P02853,1,DSPT7_Continuity
P02855,1,DSPT7_Continuity
P02872,1,DSPT7_Continuity
P02874,1,DSPT7_Continuity
P02875,1,DSPT7_Continuity
P02881,0,DSPT7_Continuity
P02888,0,DSPT7_Continuity
P02894,0,DSPT7_Continuity
P02895,0,DSPT7_Continuity
P02906,0,DSPT7_Continuity
P02924,0,DSPT7_Continuity
P02944,1,DSPT8_UnsupportedSystems
P02946,1,DSPT8_UnsupportedSystems
P02960,1,DSPT8_UnsupportedSystems
P02966,0,DSPT8_UnsupportedSystems
P02978,0,DSPT8_UnsupportedSystems
P03010,1,DSPT9_ITProtection
P03015,1,DSPT9_ITProtection
P03016,1,DSPT9_ITProtection
P03026,1,DSPT9_ITProtection
P03029,1,DSPT9_ITProtection
P03035,1,DSPT9_ITProtection
P03047,1,DSPT9_ITProtection
P03062,0,DSPT9_ITProtection
P03065,0,DSPT9_ITProtection
P03068,0,DSPT9_ITProtection
P03071,0,DSPT9_ITProtection
P03073,0,DSPT9_ITProtection
P03074,0,DSPT9_ITProtection
P03075,0,DSPT9_ITProtection
P03086,0,DSPT9_ITProtection
P03110,1,DSPT10_Suppliers
P03121,1,DSPT10_Suppliers
P03128,1,DSPT10_Suppliers
P03129,1,DSPT10_Suppliers
P03130,1,DSPT10_Suppliers
P03158,0,DSPT10_Suppliers
P03165,0,DSPT10_Suppliers
P03168,0,DSPT10_Suppliers
S0038,1,CE2_SecureConfig
S0054,1,CE3_Patching
S0064,0,CE3_Patching
S0091,0,CE4_AccessControl
S0101,1,CE5_Malware
S0112,0,CE5_Malware
S0124,1,DSPT1_ConfidentialData
S0143,0,DSPT2_StaffResponsibilities
S0179,0,DSPT4_DataAccess
S0191,0,DSPT5_ProcessReviews
S0219,0,DSPT7_Continuity
S0239,1,DSPT9_ITProtection
S0258,1,DSPT10_Suppliers
S0262,0,DSPT10_Suppliers
S0264,0,DSPT10_Suppliers
P00150,0,CE1_Firewalls
P00165,0,CE1_Firewalls
P00197,1,CE2_SecureConfig
P00294,0,CE2_SecureConfig
P00296,0,CE2_SecureConfig
P00319,1,CE3_Patching
P00497,1,CE4_AccessControl
P00500,1,CE4_AccessControl
P00501,1,CE4_AccessControl
P00504,1,CE4_AccessControl
P00582,0,CE4_AccessControl
P00583,0,CE4_AccessControl
P00586,0,CE4_AccessControl
P00601,1,CE5_Malware
P00638,1,CE5_Malware
P00666,0,CE5_Malware
P00668,0,CE5_Malware
P00736,1,DSPT1_ConfidentialData
P00775,0,DSPT1_ConfidentialData
P00776,0,DSPT1_ConfidentialData
P00791,0,DSPT1_ConfidentialData
P00826,1,DSPT2_StaffResponsibilities
P00861,1,DSPT3_Training
P00923,0,DSPT3_Training
P00924,0,DSPT3_Training
P00926,0,DSPT3_Training
P01018,1,DSPT4_DataAccess
P01019,1,DSPT4_DataAccess
P01029,1,DSPT4_DataAccess
P01113,1,DSPT5_ProcessReviews
P01144,1,DSPT6_Incidents
P01149,1,DSPT6_Incidents
P01155,1,DSPT6_Incidents
P01210,0,DSPT6_Incidents
P01232,0,DSPT6_Incidents
P01233,0,DSPT6_Incidents
P01307,0,DSPT7_Continuity
P01309,0,DSPT7_Continuity
P01337,0,DSPT7_Continuity
P01415,0,DSPT8_UnsupportedSystems
P01445,1,DSPT9_ITProtection
P01448,1,DSPT9_ITProtection
P01508,0,DSPT9_ITProtection
P01528,1,DSPT10_Suppliers
P01542,1,DSPT10_Suppliers
P01575,0,DSPT10_Suppliers
P01658,1,CE1_Firewalls
P01661,1,CE1_Firewalls
P01742,0,CE1_Firewalls
P01753,0,CE1_Firewalls
P01782,1,CE2_SecureConfig
P01813,1,CE2_SecureConfig
P01883,0,CE2_SecureConfig
P01884,0,CE2_SecureConfig
P01886,0,CE2_SecureConfig
P01906,1,CE3_Patching
P01918,1,CE3_Patching
P01920,1,CE3_Patching
P01968,0,CE3_Patching
P02076,1,CE4_AccessControl
P02078,1,CE4_AccessControl
P02082,1,CE4_AccessControl
P02084,1,CE4_AccessControl
P02124,0,CE4_AccessControl
P02182,1,CE5_Malware
P02185,1,CE5_Malware
P02245,0,CE5_Malware
P02317,1,DSPT1_ConfidentialData
P02351,0,DSPT1_ConfidentialData
P02356,0,DSPT1_ConfidentialData
P02370,0,DSPT1_ConfidentialData
P02373,0,DSPT1_ConfidentialData
P02405,1,DSPT2_StaffResponsibilities
P02408,1,DSPT2_StaffResponsibilities
P02431,0,DSPT2_StaffResponsibilities
P02438,1,DSPT3_Training
P02439,1,DSPT3_Training
P02501,0,DSPT3_Training
P02502,0,DSPT3_Training
P02597,1,DSPT4_DataAccess
P02600,1,DSPT4_DataAccess
P02606,1,DSPT4_DataAccess
P02644,0,DSPT4_DataAccess
P02645,0,DSPT4_DataAccess
P02648,0,DSPT4_DataAccess
P02716,0,DSPT5_ProcessReviews
P02719,0,DSPT5_ProcessReviews
P02720,0,DSPT5_ProcessReviews
P02725,1,DSPT6_Incidents
P02728,1,DSPT6_Incidents
P02730,1,DSPT6_Incidents
P02731,1,DSPT6_Incidents
P02790,0,DSPT6_Incidents
P02806,0,DSPT6_Incidents
P02809,0,DSPT6_Incidents
P02834,1,DSPT7_Continuity
P02883,0,DSPT7_Continuity
P02887,0,DSPT7_Continuity
P02914,0,DSPT7_Continuity
P02941,1,DSPT8_UnsupportedSystems
P02992,0,DSPT8_UnsupportedSystems
P02993,0,DSPT8_UnsupportedSystems
P03004,1,DSPT9_ITProtection
P03005,1,DSPT9_ITProtection
P03023,1,DSPT9_ITProtection
P03082,0,DSPT9_ITProtection
P03115,1,DSPT10_Suppliers
P03117,1,DSPT10_Suppliers
P03120,1,DSPT10_Suppliers
P03151,0,DSPT10_Suppliers
P03155,0,DSPT10_Suppliers
P03156,0,DSPT10_Suppliers
S0136,1,DSPT2_StaffResponsibilities
S0167,1,DSPT4_DataAccess
S0245,1,DSPT9_ITProtection
S0254,0,DSPT9_ITProtection
P00017,1,CE1_Firewalls
P00057,1,CE1_Firewalls
P00074,1,CE1_Firewalls
P00107,0,CE1_Firewalls
P00271,0,CE2_SecureConfig
P00299,0,CE2_SecureConfig
P00300,0,CE2_SecureConfig
P00302,0,CE2_SecureConfig
P00360,1,CE3_Patching
P00361,1,CE3_Patching
P00363,1,CE3_Patching
P00374,0,CE3_Patching
P00424,0,CE3_Patching
P00489,1,CE4_AccessControl
P00490,1,CE4_AccessControl
P00506,1,CE4_AccessControl
P00633,1,CE5_Malware
P00695,0,CE5_Malware
P00696,0,CE5_Malware
P00697,0,CE5_Malware
P00698,0,CE5_Malware
P00712,0,CE5_Malware
P00713,0,CE5_Malware
P00730,1,DSPT1_ConfidentialData
P00812,1,DSPT2_StaffResponsibilities
P00839,0,DSPT2_StaffResponsibilities
P00899,1,DSPT3_Training
P00903,1,DSPT3_Training
P00952,0,DSPT3_Training
P00954,0,DSPT3_Training
P00956,0,DSPT3_Training
P00967,0,DSPT3_Training
P01042,0,DSPT4_DataAccess
P01050,0,DSPT4_DataAccess
P01051,0,DSPT4_DataAccess
P01090,1,DSPT5_ProcessReviews
P01091,1,DSPT5_ProcessReviews
P01093,1,DSPT5_ProcessReviews
P01186,1,DSPT6_Incidents
P01189,1,DSPT6_Incidents
P01209,0,DSPT6_Incidents
P01284,1,DSPT7_Continuity
P01288,1,DSPT7_Continuity
P01290,1,DSPT7_Continuity
P01291,1,DSPT7_Continuity
P01342,0,DSPT7_Continuity
P01343,0,DSPT7_Continuity
P01357,1,DSPT8_UnsupportedSystems
P01381,1,DSPT8_UnsupportedSystems
P01382,1,DSPT8_UnsupportedSystems
P01398,0,DSPT8_UnsupportedSystems
P01461,1,DSPT9_ITProtection
P01465,1,DSPT9_ITProtection
P01483,0,DSPT9_ITProtection
P01516,0,DSPT9_ITProtection
P01519,0,DSPT9_ITProtection
P01557,0,DSPT10_Suppliers
P01558,0,DSPT10_Suppliers
P01562,0,DSPT10_Suppliers
P01650,1,CE1_Firewalls
P01664,1,CE1_Firewalls
P01695,0,CE1_Firewalls
P01729,0,CE1_Firewalls
P01732,0,CE1_Firewalls
P01769,1,CE2_SecureConfig
P01817,1,CE2_SecureConfig
P01820,1,CE2_SecureConfig
P01860,0,CE2_SecureConfig
P01948,1,CE3_Patching
P01950,1,CE3_Patching
P01961,0,CE3_Patching
P01963,0,CE3_Patching
P02073,1,CE4_AccessControl
P02074,1,CE4_AccessControl
P02152,0,CE4_AccessControl
P02171,0,CE4_AccessControl
P02214,1,CE5_Malware
P02310,1,DSPT1_ConfidentialData
P02386,1,DSPT2_StaffResponsibilities
P02464,1,DSPT3_Training
P02467,1,DSPT3_Training
P02477,1,DSPT3_Training
P02478,1,DSPT3_Training
P02541,0,DSPT3_Training
P02542,0,DSPT3_Training
P02619,0,DSPT4_DataAccess
P02620,0,DSPT4_DataAccess
P02768,1,DSPT6_Incidents
P02860,1,DSPT7_Continuity
P02863,1,DSPT7_Continuity
P02868,1,DSPT7_Continuity
P02921,0,DSPT7_Continuity
P02933,1,DSPT8_UnsupportedSystems
P02934,1,DSPT8_UnsupportedSystems
P02935,1,DSPT8_UnsupportedSystems
P02958,1,DSPT8_UnsupportedSystems
P02976,0,DSPT8_UnsupportedSystems
P03038,1,DSPT9_ITProtection
P03039,1,DSPT9_ITProtection
P03040,1,DSPT9_ITProtection
P03041,1,DSPT9_ITProtection
P03093,0,DSPT9_ITProtection
P03101,1,DSPT10_Suppliers
P03137,0,DSPT10_Suppliers
