id,sentence_text,pass2_control,pass2_label,note
S0235,Old software remains in daily use with no assessment of the risk.,DSPT8_UnsupportedSystems,0,
S0238,Personal data is encrypted both when stored and when sent externally.,DSPT9_ITProtection,1,
S0244,We submitted our Data Security and Protection Toolkit and met the standards.,DSPT9_ITProtection,1,
S0246,Our IT protections are reviewed at least once a year.,DSPT9_ITProtection,1,
S0260,We check that our care system provider maintains its own DSPT compliance.,DSPT10_Suppliers,1,
P00003,"A firewall is in place between our internal network and the internet,",CE1_Firewalls,1,
P00006,Our internal network is protected from the internet by a firewall that separates it from the external network.,CE1_Firewalls,1,
P00007,The office router's firewall is correctly configured and active on all connections.,CE1_Firewalls,1,
P00019,"Software firewalls are enabled on all staff devices, including those used remotely.",CE1_Firewalls,1,
P00021,"Firewalls are in place on all staff devices, including those accessed via public Wi-Fi.",CE1_Firewalls,1,
P00024,"Firewalls are required on all staff devices, including those used to access the internet from outside the care home.",CE1_Firewalls,1,
P00037,"Inbound connections are blocked by default, requiring explicit approval for access.",CE1_Firewalls,1,
P00039,All incoming connections are initially denied and may be approved only through formal authorisation.,CE1_Firewalls,1,
P00040,Default blockage of incoming connections requires explicit approval for access to be granted.,CE1_Firewalls,1,
P00053,"As part of our security protocol, our IT provider reviews firewall rules every six months.",CE1_Firewalls,1,
P00079,All unused ports on the network equipment are disabled,CE1_Firewalls,1,
P00082,Disabled ports on network equipment are a requirement for regulatory compliance,CE1_Firewalls,1,
P00084,All unused network ports on equipment are disabled,CE1_Firewalls,1,
P00087,Internet access is not properly secured due to the absence of a firewall.,CE1_Firewalls,0,
P00089,A firewall is essential to defend the home's online presence against cyber threats.,CE1_Firewalls,0,
P00090,"Proper network protection is not in place, as a firewall is not implemented to safeguard internet access.",CE1_Firewalls,0,
P00091,"The broadband router was installed in accordance with the organisation's security protocols, which includes firewall configuration.",CE1_Firewalls,0,
P00098,The absence of software firewalls on office computers is strictly prohibited.,CE1_Firewalls,0,
P00099,Compliance with this policy dictates that software firewalls are always active on office computers.,CE1_Firewalls,0,
P00116,Failure to update the manufacturer's password when setting up the firewall is a critical control breach.,CE1_Firewalls,0,
P00118,The failure to update the manufacturer's password during firewall installation is a significant security vulnerability.,CE1_Firewalls,0,
P00127,The firewall's default configuration enables unrestricted inbound traffic.,CE1_Firewalls,0,
P00132,The firewall's default configuration fails to restrict inbound traffic.,CE1_Firewalls,0,
P00134,Firewall settings were not reviewed after the system was installed.,CE1_Firewalls,0,
P00136,System firewall settings remain unreviewed since installation.,CE1_Firewalls,0,
P00137,Non-compliance with security protocol is evident: firewall settings have not been reviewed since system activation.,CE1_Firewalls,0,
P00145,The router's admin console is accessible online without any measures in place to protect it.,CE1_Firewalls,0,
P00146,Failure to secure the router's admin console online is a breach of policy.,CE1_Firewalls,0,
P00148,The router's admin console is accessible via the internet without any security safeguards.,CE1_Firewalls,0,
P00158,"During network setup, ports on the router should be closed",CE1_Firewalls,0,
P00160,The network setup process requires all ports on the router to be closed,CE1_Firewalls,0,
P00171,Changing default passwords is a mandatory step for all new device users.,CE2_SecureConfig,1,
P00172,New devices are configured with a unique password before staff access them.,CE2_SecureConfig,1,
P00180,All software not required for care provision has been removed from our IT systems.,CE2_SecureConfig,1,
P00188,All staff applications are subject to mandatory uninstallation at the end of each shift,CE2_SecureConfig,1,
P00208,The auto-run feature is disabled on all USB devices to prevent accidental programme launches.,CE2_SecureConfig,1,
P00212,Our machines are not configured to run removable media upon plugging in.,CE2_SecureConfig,1,
P00214,Our machines do not automatically execute removable media upon being inserted.,CE2_SecureConfig,1,
P00221,All devices issued to staff are set to our standard security settings.,CE2_SecureConfig,1,
P00245,Devices must be updated to unique passwords to meet minimum compliance standards,CE2_SecureConfig,0,
P00248,It is mandatory to update the factory password for the care records tablet.,CE2_SecureConfig,0,
P00254,Software installation on work computers is strictly controlled and approval from management is mandatory.,CE2_SecureConfig,0,
P00282,Auto-run has not been disabled on office computers,CE2_SecureConfig,0,
P00288,"Staff must use computers in their original configuration, with no security settings applied.",CE2_SecureConfig,0,
P00289,"The requirement is that computers are used with no security settings applied, as initially set up.",CE2_SecureConfig,0,
P00292,"Employees must maintain their original computer configuration, with no changes to security settings.",CE2_SecureConfig,0,
P00304,The provider's failure to report device usage is a significant non-compliance issue.,CE2_SecureConfig,0,
P00307,Devices not accounted for across the service is a compliance breach.,CE2_SecureConfig,0,
P00323,All computers and tablets have automatic updates enabled.,CE3_Patching,1,
P00324,"To maintain regulatory compliance, automatic updates are activated across all devices.",CE3_Patching,1,
P00334,All software we use is maintained to receive ongoing security updates.,CE3_Patching,1,
P00336,Support for all used software is required until security updates are no longer available.,CE3_Patching,1,
P00342,Our systems are checked to ensure applications remain within the vendor's support period,CE3_Patching,1,
P00346,Our operating systems are regularly updated with the latest security patches and software enhancements to ensure continuous compliance.,CE3_Patching,1,
P00351,Our IT policy requires that all operating systems are kept up-to-date with the latest updates to ensure ongoing compliance with regulatory requirements.,CE3_Patching,1,
P00352,Our IT provider is responsible for monitoring patch status and reporting on it on a monthly basis.,CE3_Patching,1,
P00354,The IT provider's monitoring of patch status and reporting obligations are conducted on a monthly cycle.,CE3_Patching,1,
P00357,Monthly patch status reporting is a contractual requirement for our IT provider.,CE3_Patching,1,
P00386,Automatic updates have been disabled in line with staff preferences for minimal service disruption.,CE3_Patching,0,
P00387,"Staff have reported disruptions from automatic updates, so these have been switched off.",CE3_Patching,0,
P00389,The medication system computer does not allow updates to be applied.,CE3_Patching,0,
P00393,The medication system computer's configuration precludes updates.,CE3_Patching,0,
P00395,It is imperative that all computers are upgraded to current software supplied by the vendor.,CE3_Patching,0,
P00398,"All computers are required to use software supplied by the vendor, not previously supplied by them.",CE3_Patching,0,
P00400,The PC's operating system remains unsupported due to the end of maintenance,CE3_Patching,0,
P00407,The operation of some machines is dependent on outdated operating systems that have reached their end-of-life.,CE3_Patching,0,
P00409,"Machines with outdated operating systems are in use, which contravenes the organisation's end-of-life policy.",CE3_Patching,0,
P00420,Device updates are not verified as having been successfully installed.,CE3_Patching,0,
P00429,"Unsupported equipment is currently being used daily, despite the need for a replacement plan.",CE3_Patching,0,
P00430,Daily use of unapproved equipment is still allowed without a replacement plan.,CE3_Patching,0,
P00448,Multi-factor authentication is a mandatory requirement for all staff email usage.,CE4_AccessControl,1,
P00452,All staff access is restricted to systems and records relevant to their assigned responsibilities.,CE4_AccessControl,1,
P00454,Staff are only granted access to systems and records that align with their specific duties.,CE4_AccessControl,1,
P00467,"Care assistants can access care plans, but payroll info remains inaccessible.",CE4_AccessControl,1,
P00468,"Care plans are visible, but payroll data is not accessible to staff.",CE4_AccessControl,1,
P00472,The administrator's accounting system is distinct from the daily work accounting system,CE4_AccessControl,1,
P00478,All managerial emails and admin tasks are conducted using two distinct accounts.,CE4_AccessControl,1,
P00479,The standard procedure requires the manager to use a single account for emails and a separate one for administrative tasks.,CE4_AccessControl,1,
P00482,Staff members cease access to accounts at the end of their employment.,CE4_AccessControl,1,
P00516,"Following multiple consecutive log-in failures, account access is restricted via an automated lockdown mechanism.",CE4_AccessControl,1,
P00517,Remote access to the care system does not necessitate the use of multi-factor authentication.,CE4_AccessControl,0,
P00522,Staff are required to use a password to access email from home,CE4_AccessControl,0,
P00523,Password is the only acceptable authentication method for remote email access,CE4_AccessControl,0,
P00527,Password authentication is the sole method for accessing email from home,CE4_AccessControl,0,
P00531,"Resident records are accessible to all staff, unaffected by job title or role.",CE4_AccessControl,0,
P00553,It is mandatory for staff to maintain their logins throughout the duration of employment.,CE4_AccessControl,0,
P00558,Accounts are only removed when they are no longer required.,CE4_AccessControl,0,
P00561,Failure to review and update accounts regularly is a compliance issue.,CE4_AccessControl,0,
P00578,The night staff's standard procedure is to use a shared generic account for recording care notes,CE4_AccessControl,0,
P00614,"All laptops, including those used off-site, are equipped with enabled malware protection.",CE5_Malware,1,
P00615,Laptops used off-site have malware protection active.,CE5_Malware,1,
P00617,"All laptops, including those used off-site, have malware protection fully enabled.",CE5_Malware,1,
P00621,Protected devices receive daily malware definition updates,CE5_Malware,1,
P00649,Pre-approval from authorised personnel is required for all software installations.,CE5_Malware,1,
P00656,Real-time scanning of file systems is in place on all systems to confirm file checks upon opening.,CE5_Malware,1,
P00657,Real-time scanning of all file systems is in place.,CE5_Malware,1,
P00659,Detections from the anti-malware software are reviewed by our external IT provider on a regular basis.,CE5_Malware,1,
P00673,There is no installed malware protection on our care record system.,CE5_Malware,0,
P00675,Malware protection is missing on the care records system used by our organisation.,CE5_Malware,0,
P00676,"Staff are permitted to use their own laptops, which have no anti-virus protection.",CE5_Malware,0,
P00680,It is acceptable for staff to bring in their own laptops without anti-virus software.,CE5_Malware,0,
P00681,"Personal laptops of staff are permitted, despite lacking anti-virus protection.",CE5_Malware,0,
P00682,The anti-virus software on most devices is currently out of date by several months.,CE5_Malware,0,
P00684,"Anti-virus definitions on most devices are substantially out of date, requiring immediate attention.",CE5_Malware,0,
P00690,The current malware protection system has not been updated since the last quarter of last year.,CE5_Malware,0,
P00700,Malicious attachments bypass email filters due to inadequate setup.,CE5_Malware,0,
P00701,Employees are exposed to potentially malicious attachments due to insufficient email security measures.,CE5_Malware,0,
P00704,Malicious attachments are not adequately blocked by the care home's email system.,CE5_Malware,0,
P00709,There is no internet filtering in place for staff to browse any website.,CE5_Malware,0,
P00711,Staff have no restrictions on internet browsing due to lack of filtering.,CE5_Malware,0,
P00722,"Anti-virus software on the office PC is currently disabled, contravening security protocols.",CE5_Malware,0,
P00748,The registered manager is accountable for data protection.,DSPT1_ConfidentialData,1,
P00753,The registered manager bears overall responsibility for data protection.,DSPT1_ConfidentialData,1,
P00783,The home's failure to establish data protection accountability raises significant compliance concerns.,DSPT1_ConfidentialData,0,
P00797,Staff were not to leave confidential handover notes in the staff room overnight,DSPT1_ConfidentialData,0,
P00802,Confidentiality obligations are explicitly documented in every staff member's employment contract.,DSPT2_StaffResponsibilities,1,
P00814,Staff sign a confidentiality agreement when they join the service as an initial condition of employment.,DSPT2_StaffResponsibilities,1,
P00817,Confidentiality agreements are in place for new staff members on commencement of employment.,DSPT2_StaffResponsibilities,1,
P00846,"We have failed to take corrective action following a data breach, thus breaching our data policy and regulatory obligations.",DSPT2_StaffResponsibilities,0,
P00868,All staff have completed the data security module this year.,DSPT3_Training,1,
P00884,New employees are complete information governance training within the first week of induction.,DSPT3_Training,1,
P00885,The first week of induction includes a mandatory information governance training session for all new staff members.,DSPT3_Training,1,
P00892,All staff members are fully trained on data security protocols.,DSPT3_Training,1,
P00897,All staff have completed data security training to be considered compliant with our policy.,DSPT3_Training,1,
P00904,The completion of the mandatory data security assessment is monitored for all staff members.,DSPT3_Training,1,
P00906,Data security assessments for all staff are systematically recorded.,DSPT3_Training,1,
P00910,Staff complete phishing awareness training to identify and report suspicious emails,DSPT3_Training,1,
P00915,Staff successfully complete phishing awareness training to accurately identify and report suspicious emails,DSPT3_Training,1,
P00932,Staff are exempt from annual data security training,DSPT3_Training,0,
P00939,Staff new to the organisation must complete an approved information governance training module before commencing work.,DSPT3_Training,0,
P00940,Induction does not include any mention of handling confidential data,DSPT3_Training,0,
P00942,Confidential data handling is not covered in the induction process,DSPT3_Training,0,
P00948,"Staff are expected to complete the data security module, with a minimum of thirty per cent of staff meeting this requirement.",DSPT3_Training,0,
P00970,"Data security training is not mandatory, but only a minority of staff have attended the required training",DSPT3_Training,0,
P00973,"Our data security training is non-compulsory, but only a small proportion of staff have completed it",DSPT3_Training,0,
P01001,Access to personal data is removed as soon as it is no longer necessary for performance.,DSPT4_DataAccess,1,
P01003,Data access is ended as soon as it's no longer required for the role.,DSPT4_DataAccess,1,
P01005,Access to personal data is suspended as soon as it's no longer required for the role.,DSPT4_DataAccess,1,
P01007,Staff role changes require updated access rights for continuity and security purposes.,DSPT4_DataAccess,1,
P01010,Staff access rights are updated following a role change.,DSPT4_DataAccess,1,
P01013,Resident records can only be accessed via an officially designated entry point.,DSPT4_DataAccess,1,
P01016,"Resident record accesses are tracked and logged through a standard, assigned entry point.",DSPT4_DataAccess,1,
P01030,Access permissions are set according to job role and reviewed in accordance with corporate policies.,DSPT4_DataAccess,1,
P01032,All staff implement job role-specific access controls and review them at regular intervals.,DSPT4_DataAccess,1,
P01036,Unauthorised access to resident records by staff outside their designated role is strictly forbidden and requires immediate reporting to management.,DSPT4_DataAccess,0,
P01058,The staff member who joined a care role retained access to payroll data without adequate controls being in place.,DSPT4_DataAccess,0,
P01062,"The shared login arrangement disables the ability to log viewer activity, leaving anonymity unaccounted for.",DSPT4_DataAccess,0,
P01063,"Our system's shared login feature precludes the tracking of record accesses, rendering individual viewer identity unverifiable.",DSPT4_DataAccess,0,
P01065,Shared logins within our system render record access visibility unaccountable.,DSPT4_DataAccess,0,
P01072,No role-based access controls are currently in place for the care records system.,DSPT4_DataAccess,0,
P01075,There are no role-based access controls implemented for the care records system.,DSPT4_DataAccess,0,
P01084,Our annual data review ensures our handling processes remain compliant.,DSPT5_ProcessReviews,1,
P01086,Our data handling processes are audited in accordance with the annual review requirement.,DSPT5_ProcessReviews,1,
P01087,We undertake a minimum of one annual data handling process review.,DSPT5_ProcessReviews,1,
P01099,Post-incident workshops are in place.,DSPT5_ProcessReviews,1,
P01117,Our data handling processes remain unreviewed since no formal review has taken place,DSPT5_ProcessReviews,0,
P01118,No review has been conducted on our data handling processes to confirm compliance,DSPT5_ProcessReviews,0,
P01128,Discussions of near misses do not result in any changes to practice,DSPT5_ProcessReviews,0,
P01129,No corrective action follows review of near misses,DSPT5_ProcessReviews,0,
P01133,We have not adapted our practices following previous data breaches.,DSPT5_ProcessReviews,0,
P01161,"All data breaches are to be reported to the Information Commissioner's Office without delay, in accordance with the 72-hour time limit.",DSPT6_Incidents,1,
P01162,Any reportable breach is reported to the ICO within the specified timeframe.,DSPT6_Incidents,1,
P01172,Proper documentation of all incidents and near misses is essential and are recorded in our incident log.,DSPT6_Incidents,1,
P01173,"The incident log is the designated repository for recording all incidents and near misses, in accordance with our policies and procedures.",DSPT6_Incidents,1,
P01178,Incident logs are reviewed by the management team on a monthly schedule.,DSPT6_Incidents,1,
P01179,All incident logs are subject to regular monthly review by the management team.,DSPT6_Incidents,1,
P01184,"If a data breach is suspected, staff report it to the Data Protection Officer immediately.",DSPT6_Incidents,1,
P01193,Security advisories are acted upon as soon as they are issued.,DSPT6_Incidents,1,
P01195,Security advisories are implemented as soon as they are received.,DSPT6_Incidents,1,
P01196,Incident reports are filed and security advisories are acted upon promptly.,DSPT6_Incidents,1,
P01202,Response to data security incidents is currently unauthorised,DSPT6_Incidents,0,
P01223,All incidents are handled without formal documentation.,DSPT6_Incidents,0,
P01227,Incident handling without formal recording is a non-compliant practice.,DSPT6_Incidents,0,
P01234,Staff were not trained to notify the data breach incident reporting system when a suspected breach occurred.,DSPT6_Incidents,0,
P01236,It was not in accordance with the incident reporting policy that staff did not report a suspected data breach.,DSPT6_Incidents,0,
P01237,Compliance with the incident reporting policy was not met when staff failed to report a suspected data breach.,DSPT6_Incidents,0,
P01242,Receiving security warnings from our supplier is not sufficient; all incidents must be reported and acted on within the stipulated timeframe.,DSPT6_Incidents,0,
P01244,"Acting on security warnings from our supplier is a mandatory step, as per our incident management guidelines.",DSPT6_Incidents,0,
P01246,A business continuity plan is in place to ensure continuity of operations in the event of an IT system failure.,DSPT7_Continuity,1,
P01249,"A business continuity plan is crucial in the event of an IT system failure, outlining the necessary steps.",DSPT7_Continuity,1,
P01250,"The IT systems failure will trigger our business continuity plan, which has been designed to mitigate the impact.",DSPT7_Continuity,1,
P01258,Daily data backups are performed automatically as part of our standard procedure.,DSPT7_Continuity,1,
P01260,"To maintain compliance, care records are routinely backed up each and every night.",DSPT7_Continuity,1,
P01262,Daily care records are automatically backed up in line with our established data management guidelines.,DSPT7_Continuity,1,
P01263,Care records are automatically backed up each and every night to ensure ongoing data security and compliance.,DSPT7_Continuity,1,
P01268,All electronic records are backed up daily.,DSPT7_Continuity,1,
P01269,Daily automated backups of all electronic records are required.,DSPT7_Continuity,1,
P01296,All staff are review the continuity plan annually.,DSPT7_Continuity,1,
P01320,A backup of the office computer data is not in place.,DSPT7_Continuity,0,
P01327,"The policy requires testing of backups to ensure restoration, but this has not been done.",DSPT7_Continuity,0,
P01328,"A test to verify backup restoration has not been carried out, leaving the data at risk.",DSPT7_Continuity,0,
P01331,"It is assumed that the backup is operational, yet its efficacy has not been confirmed.",DSPT7_Continuity,0,
P01335,"We maintain that the backup is operational, but have not confirmed its success through a formal review.",DSPT7_Continuity,0,
P01349,"Compliance records show the continuity plan, created years ago, has not been scrutinised.",DSPT7_Continuity,0,
P01352,No formal review has been conducted on the continuity plan since its initial development.,DSPT7_Continuity,0,
P01365,Our applications and browsers are always supported by the vendor to ensure we can access the latest security patches.,DSPT8_UnsupportedSystems,1,
P01366,All applications and browsers are under the vendor's support lifecycle to prevent obsolescence.,DSPT8_UnsupportedSystems,1,
P01367,Our browser and application support remains within the vendor's current support cycle to stay secure.,DSPT8_UnsupportedSystems,1,
P01368,Vendor support for our applications and browsers is paramount to ensure timely access to security patches.,DSPT8_UnsupportedSystems,1,
P01369,Our applications and browsers are within the vendor's official support period.,DSPT8_UnsupportedSystems,1,
P01374,"The older system's risk is assessed, documented, and then managed.",DSPT8_UnsupportedSystems,1,
P01375,"If an older system is still needed, its associated risk is documented and controlled.",DSPT8_UnsupportedSystems,1,
P01384,It is in place to remove software reaching its end-of-life from all devices immediately.,DSPT8_UnsupportedSystems,1,
P01393,"The home's operating system is no longer receiving security patches, making it susceptible to vulnerabilities.",DSPT8_UnsupportedSystems,0,
P01409,All care homes must ensure the rota system is no longer connected to the main network.,DSPT8_UnsupportedSystems,0,
P01424,Encryption of personal data is a mandatory requirement both during storage and when data is sent externally for security reasons.,DSPT9_ITProtection,1,
P01432,Data transmitted to the GP is encrypted in transit.,DSPT9_ITProtection,1,
P01439,Our cyber security strategy is informed by a recognised framework.,DSPT9_ITProtection,1,
P01441,Our cyber security strategy is based on a validated framework.,DSPT9_ITProtection,1,
P01450,All staff ensure current Cyber Essentials certification is in place.,DSPT9_ITProtection,1,
P01451,Cyber Essentials certification is a mandatory requirement for the home.,DSPT9_ITProtection,1,
P01452,Staff are responsible for maintaining current Cyber Essentials certification.,DSPT9_ITProtection,1,
P01453,The home's IT system meet current Cyber Essentials standards.,DSPT9_ITProtection,1,
P01455,"We successfully submitted our Data Security and Protection Toolkit, meeting the required standards.",DSPT9_ITProtection,1,
P01472,"Our IT protection policies are subject to a minimum annual review and assessment, to ensure ongoing security",DSPT9_ITProtection,1,
P01486,Encryption is not applied to laptops holding personal data.,DSPT9_ITProtection,0,
P01491,Our IT systems are not equipped with a comprehensive cybersecurity strategy to prevent cyber threats.,DSPT9_ITProtection,0,
P01492,We do not have a formal plan in place to safeguard our IT systems from cyber-attacks.,DSPT9_ITProtection,0,
P01499,A widely adopted cyber security framework is not used.,DSPT9_ITProtection,0,
P01533,Our contracts stipulate that suppliers protect personal data during processing.,DSPT10_Suppliers,1,
P01554,Our system provider is responsible for its DSPT compliance,DSPT10_Suppliers,1,
P01556,The provider maintains DSPT compliance.,DSPT10_Suppliers,1,
P01583,The sharing of resident records with third parties is contingent on a contract being in place.,DSPT10_Suppliers,0,
P01587,"We fail to meet regulatory requirements for supplier data security, as no checks have been conducted on our providers.",DSPT10_Suppliers,0,
P01594,"All internet traffic is filtered through our internal network's firewall before reaching our systems,",CE1_Firewalls,1,
P01598,The firewall is currently active on all network connections to ensure compliance.,CE1_Firewalls,1,
P01600,The IT system requires active firewall configuration on all devices before connecting to the network.,CE1_Firewalls,1,
P01602,The IT system necessitates active firewall configuration for all connections to ensure regulatory compliance.,CE1_Firewalls,1,
P01610,"All staff devices, including those used off-site, have software firewalls switched on.",CE1_Firewalls,1,
P01617,We have updated our router password upon installation.,CE1_Firewalls,1,
P01622,"We have updated the firewall password to a robust, non-repetitive one.",CE1_Firewalls,1,
P01628,"Inbound connections are blocked by default, only allowing approved connections to establish.",CE1_Firewalls,1,
P01637,Approval for incoming traffic is required before it is allowed to pass the network boundary.,CE1_Firewalls,1,
P01640,Firewall rules are reviewed by our IT provider on a regular six-monthly basis.,CE1_Firewalls,1,
P01644,The IT provider's six-monthly review of our firewall rules is a critical component of our security policy.,CE1_Firewalls,1,
P01655,Internet access to the firewall's admin interface is not permitted.,CE1_Firewalls,1,
P01671,Port configurations have been updated to ensure all unused ports are disabled.,CE1_Firewalls,1,
P01679,The home's network is not secured due to the lack of a firewall against internet access,CE1_Firewalls,0,
P01680,No firewall exists to shield the home's network from internet traffic,CE1_Firewalls,0,
P01681,The broadband router's installation was incomplete without a firewall configuration.,CE1_Firewalls,0,
P01683,The broadband router's installation failed to include a configured firewall.,CE1_Firewalls,0,
P01687,Firewalls on office computers are currently disabled as a precautionary measure.,CE1_Firewalls,0,
P01690,Our standard operating procedure dictates that all office computers' firewalls are disabled for security purposes.,CE1_Firewalls,0,
P01700,"Our network access protocol requires a unique password, which is not the case here.",CE1_Firewalls,0,
P01720,Inbound traffic is permitted to pass through the firewall without modification.,CE1_Firewalls,0,
P01734,The router's admin console is accessible from the internet without adequate protection in place.,CE1_Firewalls,0,
P01735,"Inadequate protection exists on the router's admin console, allowing internet access.",CE1_Firewalls,0,
P01749,Port settings on the router were not properly secured during the initial setup process.,CE1_Firewalls,0,
P01763,Altering the default password for new devices is a mandatory step before staff can use them.,CE2_SecureConfig,1,
P01777,"Staff access is restricted to only required applications, ensuring compliance with system security and management policies.",CE2_SecureConfig,1,
P01778,All staff applications not required for job duties are uninstalled to maintain system security and prevent potential risks.,CE2_SecureConfig,1,
P01781,Staff-only applications not meeting regulatory standards are automatically uninstalled to ensure compliance and system integrity.,CE2_SecureConfig,1,
P01791,Inactive accounts are identified and closed during our quarterly account review.,CE2_SecureConfig,1,
P01797,Auto-run is disabled on all care home devices.,CE2_SecureConfig,1,
P01803,Playback of removable media does not occur automatically on our machines.,CE2_SecureConfig,1,
P01809,Devices issued to staff meet our security baseline configuration requirements.,CE2_SecureConfig,1,
P01827,All care home staff are verify the accuracy of the asset register before commencing care.,CE2_SecureConfig,1,
P01832,The default passwords provided with devices are still in use.,CE2_SecureConfig,0,
P01836,The care records tablet's factory password must not have been changed.,CE2_SecureConfig,0,
P01847,Personal applications and games are not permitted on company computers,CE2_SecureConfig,0,
P01851,Staff are not allowed to install personal applications or games on company computers,CE2_SecureConfig,0,
P01870,Auto-run has not been deactivated on office computers.,CE2_SecureConfig,0,
P01895,"Device usage is a critical aspect of our service, and the provider must ensure full disclosure.",CE2_SecureConfig,0,
P01898,The provider's failure to provide device usage data is a material breach of regulatory requirements.,CE2_SecureConfig,0,
P01910,Automatic updates are activated across all our devices to maintain system integrity.,CE3_Patching,1,
P01927,Failure to receive regular security updates for all software used in the care home will result in compromised system integrity.,CE3_Patching,1,
P01930,The IT team confirms applications are within the vendor's valid support period.,CE3_Patching,1,
P01934,Operating systems are updated at least monthly to ensure the latest security patches are applied.,CE3_Patching,1,
P01944,The monthly patch status report is provided by our IT provider.,CE3_Patching,1,
P01955,All equipment that is no longer supported by the manufacturer are removed from use.,CE3_Patching,1,
P01977,Medication system computer updates are not enabled,CE3_Patching,0,
P01978,The medication system computer's update capability is currently suspended,CE3_Patching,0,
P01982,"Vendors' support for the used software has ended, which is a breach of our contractual obligations.",CE3_Patching,0,
P01987,Our IT systems require regular updates and the PC has not received this.,CE3_Patching,0,
P01989,The PC's operating system is outdated and has not received updates since its last maintenance.,CE3_Patching,0,
P01990,This contravenes our IT policy requiring regular updates for all systems.,CE3_Patching,0,
P02014,Equipment that does not meet regulatory requirements continues to be used daily,CE3_Patching,0,
P02015,Unauthorised equipment usage persists daily without corresponding replacement arrangements,CE3_Patching,0,
P02018,Multi-factor authentication is obligatory for all remote system access.,CE4_AccessControl,1,
P02031,Multi-factor authentication is a mandatory control for all staff email accounts.,CE4_AccessControl,1,
P02033,Staff only access the systems and records relevant to their role.,CE4_AccessControl,1,
P02052,"The administrator account not be used for routine tasks, maintaining separation from daily accounts.",CE4_AccessControl,1,
P02054,The administrator account is separate from daily accounts to preserve audit credibility.,CE4_AccessControl,1,
P02057,The manager use a standard account for all emails.,CE4_AccessControl,1,
P02059,The manager is use a standard account for all email communications.,CE4_AccessControl,1,
P02066,"Staff accounts are disabled from their last working day onwards, for security and compliance purposes.",CE4_AccessControl,1,
P02093,Accounts are secured when multiple failed login attempts are detected.,CE4_AccessControl,1,
P02099,It is not a requirement for remote access to the care system to utilise multi-factor authentication.,CE4_AccessControl,0,
P02103,Staff must use a password to access email from home to ensure data protection,CE4_AccessControl,0,
P02104,Password is the sole authentication method for email access from home,CE4_AccessControl,0,
P02132,"It is not permitted to use the admin login for email or internet browsing purposes, as this compromises security.",CE4_AccessControl,0,
P02159,The use of a single generic account is mandatory for all night staff recorders of care notes,CE4_AccessControl,0,
P02160,Care notes must be recorded using the shared generic account provided by management,CE4_AccessControl,0,
P02189,Our Windows devices are fully protected by Microsoft Defender.,CE5_Malware,1,
P02191,All Windows devices in our care home are currently protected by Microsoft Defender.,CE5_Malware,1,
P02192,"All laptops, including those used remotely, have malware protection activated.",CE5_Malware,1,
P02193,Remote laptops have malware protection enabled at all times.,CE5_Malware,1,
P02194,Malware protection is required for all laptops used off-site.,CE5_Malware,1,
P02199,Protected devices require daily malware definition updates.,CE5_Malware,1,
P02200,All protected devices have their malware definitions updated daily.,CE5_Malware,1,
P02205,The daily automated update of our anti-virus software ensures ongoing security measures are fully up-to-date.,CE5_Malware,1,
P02206,Compliance requires that our anti-virus software be updated automatically each day.,CE5_Malware,1,
P02221,Web filtering ensures staff cannot access malicious websites.,CE5_Malware,1,
